"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"28.04.2023","1.999,10","1.997,20","2.004,10","1.984,40","172,45K","0,01%"
"27.04.2023","1.999,00","1.999,80","2.013,30","1.982,00","203,90K","0,61%"
"26.04.2023","1.986,90","2.000,00","2.009,80","1.986,60","0,62K","-0,41%"
"25.04.2023","1.995,10","1.995,40","2.005,00","1.979,30","0,85K","0,23%"
"24.04.2023","1.990,60","1.983,20","1.991,00","1.975,30","0,54K","0,47%"
"21.04.2023","1.981,30","2.005,10","2.007,00","1.973,00","0,62K","-1,42%"
"20.04.2023","2.009,80","1.996,50","2.014,50","1.994,20","0,42K","0,59%"
"19.04.2023","1.998,00","2.008,50","2.009,70","1.971,90","0,92K","-0,61%"
"18.04.2023","2.010,30","1.997,10","2.013,40","1.994,50","0,22K","0,81%"
"17.04.2023","1.994,20","2.002,70","2.007,60","1.983,20","0,55K","-0,40%"
"14.04.2023","2.002,20","2.041,00","2.047,80","1.995,00","0,72K","-1,92%"
"13.04.2023","2.041,30","2.015,60","2.048,60","2.015,60","1,04K","1,51%"
"12.04.2023","2.010,90","2.005,20","2.025,70","2.005,20","0,17K","0,30%"
"11.04.2023","2.004,80","1.991,40","2.006,50","1.991,40","0,07K","0,79%"
"10.04.2023","1.989,10","2.000,00","2.006,60","1.984,00","0,65K","-1,13%"
"06.04.2023","2.011,90","2.022,20","2.023,30","2.005,00","0,49K","-0,45%"
"05.04.2023","2.020,90","2.022,10","2.033,80","2.013,60","0,53K","-0,06%"
"04.04.2023","2.022,20","1.984,60","2.027,10","1.979,00","0,81K","1,93%"
"03.04.2023","1.983,90","1.968,10","1.991,70","1.950,00","0,74K","0,76%"
"31.03.2023","1.969,00","1.981,30","1.986,80","1.968,00","0,96K","-0,57%"
"30.03.2023","1.980,30","1.965,90","1.984,40","1.954,90","10,12K","0,68%"
"29.03.2023","1.966,90","1.975,40","1.976,00","1.959,50","88,56K","-0,33%"
"28.03.2023","1.973,50","1.957,80","1.977,10","1.949,90","183,58K","0,10%"
"27.03.2023","1.971,50","2.000,30","2.001,50","1.962,70","107,04K","-1,51%"
